id,submitdate,lastpage,startlanguage,seed,Randomisierung,Alter,Sex,Bildung,Partnerschaft,OPselbst,OPandere,BildVG,AnnaVG[Eig1],AnnaVG[Eig2],AnnaVG[Eig3],AnnaVG[Eig4],AnnaVG[Eig5],AnnaVG[Eig6],AnnaVG[Eig7],AnnaVG[Eig8],AnnaVG[Eig9],AnnaVG[Eig10],AnnaVG[Eig11],AnnaVG[Eig12],AnnaVG[Eig13],AnnaVG[Eig14],AnnaVG[Eig15],BildKG,AnnaKG[Eig1],AnnaKG[Eig2],AnnaKG[Eig3],AnnaKG[Eig4],AnnaKG[Eig5],AnnaKG[Eig6],AnnaKG[Eig7],AnnaKG[Eig8],AnnaKG[Eig9],AnnaKG[Eig10],AnnaKG[Eig11],AnnaKG[Eig12],AnnaKG[Eig13],AnnaKG[Eig14],AnnaKG[Eig15],SexCompetition[SexComp1],SexCompetition[SexComp2],SexCompetition[SexComp3],SexCompetition[SexComp4],SexCompetition[SexComp5],SexCompetition[SexComp6],SexCompetition[SexComp7],SexCompetition[SexComp8],SexCompetition[SexComp9],SexCompetition[SexComp10],SexCompetition[SexComp11],SexCompetition[SexComp12],PhysComp[PhysComp1],PhysComp[PhysComp2],PhysComp[PhysComp3],PhysComp[PhysComp4],PhysComp[PhysComp5],PhysComp[PhysComp6],PhysComp[PhysComp7],PhysComp[PhysComp8],PhysComp[PhysComp9],PhysComp[PhysComp10],BodyImage[BodyIm1],BodyImage[BodyIm2],BodyImage[BodyIm3],BodyImage[BodyIm4],BodyImage[BodyIm5],BodyImage[BodyIm6],BodyImage[BodyIm7],BodyImage[BodyIm8],ACSS[ACSS1],ACSS[ACSS2],ACSS[ACSS3],ACSS[ACSS4],ACSS[ACSS5],ACSS[ACSS6],ACSS[ACSS7],ACSS[ACSS8],ACSS[ACSS9],ACSS[ACSS10],ACSS[ACSS11],ACSS[ACSS12],ACSS[ACSS13],ACSS[ACSS14],ACSS[ACSS15]
532,1/1/1980 0:00,8,de,1276923553,1,22,1,1,0,0,0,"streng, ehrgeizig, dominant",1,4,1,4,5,5,5,5,1,1,1,5,5,1,2,,,,,,,,,,,,,,,,,4,5,2,5,1,1,2,1,2,2,1,2,5,1,1,4,5,4,4,4,4,5,1,4,4,1,2,6,1,3,7,7,1,6,7,4,5,4,1,5,1,1,1,7,5
533,1/1/1980 0:00,8,de,1157792880,2,21,2,3,0,0,0,,,,,,,,,,,,,,,,,"schön, klug, clever, bedacht, nicht-impulsiv, wohlhabend, gebildet, ",2,4,3,4,4,5,5,5,3,1,2,4,5,1,1,4,5,4,7,1,1,3,1,6,5,5,1,4,2,2,5,4,5,5,5,5,4,2,1,2,3,1,4,1,2,4,4,2,2,5,4,4,7,1,6,3,1,3,2,2
534,1/1/1980 0:00,8,de,1194033825,1,23,1,2,0,0,1,,2,2,2,2,4,4,4,5,3,2,1,3,4,1,1,,,,,,,,,,,,,,,,,2,1,2,2,1,1,2,1,3,1,1,1,3,3,2,2,3,2,2,2,2,1,3,1,5,1,2,2,3,2,7,5,6,3,6,6,6,7,4,1,3,1,1,4,3
535,1/1/1980 0:00,8,de,725113814,2,26,0,3,1,0,0,,,,,,,,,,,,,,,,,"ehrgeizig, diszipliniert",4,3,3,2,2,2,2,2,4,4,4,3,2,4,4,2,1,2,1,1,1,2,1,5,2,1,1,4,1,1,1,3,1,4,1,1,1,2,6,6,2,3,7,3,6,4,5,3,4,5,5,6,5,2,3,1,1,2,5,1
536,1/1/1980 0:00,8,de,1305731474,1,24,1,2,1,0,0,,3,4,3,3,3,4,4,3,4,4,4,3,4,2,2,,,,,,,,,,,,,,,,,1,2,3,4,1,1,1,1,2,2,1,1,4,3,3,4,3,3,4,3,3,3,2,4,4,5,3,3,1,3,6,6,1,6,6,1,1,1,1,7,1,1,1,3,1
537,,1,de,1945990730,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
538,1/1/1980 0:00,8,de,288418188,1,24,1,1,1,0,0,Sie ist sehr gepflegt und liebt es wenn sie nach außen strahlt,3,3,1,4,3,5,5,4,4,1,2,3,5,2,2,,,,,,,,,,,,,,,,,1,1,1,2,1,1,1,1,2,1,3,1,3,1,1,3,3,2,1,1,1,2,1,4,2,2,1,4,4,1,7,7,7,5,7,7,7,2,1,1,1,1,1,4,1
539,1/1/1980 0:00,8,de,606079767,2,24,1,2,1,0,0,,,,,,,,,,,,,,,,,,3,4,3,5,5,5,4,4,2,3,2,3,4,4,3,1,4,4,1,1,3,3,1,1,5,4,2,1,3,3,4,4,3,3,3,4,4,1,4,4,1,3,4,1,4,7,3,1,4,5,3,1,5,1,4,1,1,1,4,4
540,,5,de,2120078654,2,25,1,2,0,0,0,,,,,,,,,,,,,,,,,,1,2,1,1,5,5,5,4,1,1,1,3,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
541,1/1/1980 0:00,8,de,1496994626,1,24,1,1,0,0,1,empathisch ,3,4,1,2,4,4,5,5,3,1,1,4,4,1,1,,,,,,,,,,,,,,,,,1,1,1,2,1,2,1,1,2,2,2,1,1,1,1,2,1,2,1,1,1,1,2,1,3,5,2,1,2,2,7,5,6,2,4,4,7,6,1,1,1,1,1,3,1
