MSTI_VAR,MSTI Variables,COU,Country,YEAR,Year,Unit Code,Unit,PowerCode Code,PowerCode,Reference Period Code,Reference Period,Value,Flag Codes,Flags
B_PPP,Business Enterprise Expenditure on R&D (BERD) at current PPP $,USA,United States,2021,2021,USD,US Dollar,6,Millions,,,625486,p,Provisional value
TOTPOP,Population,USA,United States,1981,1981,PER,Persons,3,Thousands,,,230008,,
TOTPOP,Population,USA,United States,1982,1982,PER,Persons,3,Thousands,,,232218,,
TOTPOP,Population,USA,United States,1983,1983,PER,Persons,3,Thousands,,,234333,,
TOTPOP,Population,USA,United States,1984,1984,PER,Persons,3,Thousands,,,236394,,
TOTPOP,Population,USA,United States,1985,1985,PER,Persons,3,Thousands,,,238506,,
TOTPOP,Population,USA,United States,1986,1986,PER,Persons,3,Thousands,,,240683,,
TOTPOP,Population,USA,United States,1987,1987,PER,Persons,3,Thousands,,,242843,,
TOTPOP,Population,USA,United States,1988,1988,PER,Persons,3,Thousands,,,245061,,
TOTPOP,Population,USA,United States,1989,1989,PER,Persons,3,Thousands,,,247387,,
TOTPOP,Population,USA,United States,1990,1990,PER,Persons,3,Thousands,,,250181,,
TOTPOP,Population,USA,United States,1991,1991,PER,Persons,3,Thousands,,,253530,,
TOTPOP,Population,USA,United States,1992,1992,PER,Persons,3,Thousands,,,256922,,
TOTPOP,Population,USA,United States,1993,1993,PER,Persons,3,Thousands,,,260282,,
TOTPOP,Population,USA,United States,1994,1994,PER,Persons,3,Thousands,,,263455,,
TOTPOP,Population,USA,United States,1995,1995,PER,Persons,3,Thousands,,,266588,,
TOTPOP,Population,USA,United States,1996,1996,PER,Persons,3,Thousands,,,269714,,
TOTPOP,Population,USA,United States,1997,1997,PER,Persons,3,Thousands,,,272958,,
TOTPOP,Population,USA,United States,1998,1998,PER,Persons,3,Thousands,,,276154,,
TOTPOP,Population,USA,United States,1999,1999,PER,Persons,3,Thousands,,,279328,,
TOTPOP,Population,USA,United States,2000,2000,PER,Persons,3,Thousands,,,282398,,
TOTPOP,Population,USA,United States,2001,2001,PER,Persons,3,Thousands,,,285225,,
TOTPOP,Population,USA,United States,2002,2002,PER,Persons,3,Thousands,,,287955,,
TOTPOP,Population,USA,United States,2003,2003,PER,Persons,3,Thousands,,,290626,,
TOTPOP,Population,USA,United States,2004,2004,PER,Persons,3,Thousands,,,293262,,
TOTPOP,Population,USA,United States,2005,2005,PER,Persons,3,Thousands,,,295993,,
TOTPOP,Population,USA,United States,2006,2006,PER,Persons,3,Thousands,,,298818,,
TOTPOP,Population,USA,United States,2007,2007,PER,Persons,3,Thousands,,,301696,,
TOTPOP,Population,USA,United States,2008,2008,PER,Persons,3,Thousands,,,304543,,
TOTPOP,Population,USA,United States,2009,2009,PER,Persons,3,Thousands,,,307240,,
TOTPOP,Population,USA,United States,2010,2010,PER,Persons,3,Thousands,,,309839,,
TOTPOP,Population,USA,United States,2011,2011,PER,Persons,3,Thousands,,,312295,,
TOTPOP,Population,USA,United States,2012,2012,PER,Persons,3,Thousands,,,314725,,
TOTPOP,Population,USA,United States,2013,2013,PER,Persons,3,Thousands,,,317099,,
TOTPOP,Population,USA,United States,2014,2014,PER,Persons,3,Thousands,,,319601,,
TOTPOP,Population,USA,United States,2015,2015,PER,Persons,3,Thousands,,,322113,,
TOTPOP,Population,USA,United States,2016,2016,PER,Persons,3,Thousands,,,324609,,
TOTPOP,Population,USA,United States,2017,2017,PER,Persons,3,Thousands,,,326860,,
TOTPOP,Population,USA,United States,2018,2018,PER,Persons,3,Thousands,,,328794,,
TOTPOP,Population,USA,United States,2019,2019,PER,Persons,3,Thousands,,,330513,,
TOTPOP,Population,USA,United States,2020,2020,PER,Persons,3,Thousands,,,331761,,
TOTPOP,Population,USA,United States,2021,2021,PER,Persons,3,Thousands,,,332213,,
GDP_PPP,Gross Domestic Product (current PPP$),USA,United States,1981,1981,USD,US Dollar,6,Millions,,,3207041,,
GDP_PPP,Gross Domestic Product (current PPP$),USA,United States,1982,1982,USD,US Dollar,6,Millions,,,3343789,,
GDP_PPP,Gross Domestic Product (current PPP$),USA,United States,1983,1983,USD,US Dollar,6,Millions,,,3634038,,
GDP_PPP,Gross Domestic Product (current PPP$),USA,United States,1984,1984,USD,US Dollar,6,Millions,,,4037613,,
GDP_PPP,Gross Domestic Product (current PPP$),USA,United States,1985,1985,USD,US Dollar,6,Millions,,,4338979,,
GDP_PPP,Gross Domestic Product (current PPP$),USA,United States,1986,1986,USD,US Dollar,6,Millions,,,4579631,,
GDP_PPP,Gross Domestic Product (current PPP$),USA,United States,1987,1987,USD,US Dollar,6,Millions,,,4855215,,
GDP_PPP,Gross Domestic Product (current PPP$),USA,United States,1988,1988,USD,US Dollar,6,Millions,,,5236438,,
GDP_PPP,Gross Domestic Product (current PPP$),USA,United States,1989,1989,USD,US Dollar,6,Millions,,,5641580,,
GDP_PPP,Gross Domestic Product (current PPP$),USA,United States,1990,1990,USD,US Dollar,6,Millions,,,5963144,,
GDP_PPP,Gross Domestic Product (current PPP$),USA,United States,1991,1991,USD,US Dollar,6,Millions,,,6158129,,
GDP_PPP,Gross Domestic Product (current PPP$),USA,United States,1992,1992,USD,US Dollar,6,Millions,,,6520327,,
GDP_PPP,Gross Domestic Product (current PPP$),USA,United States,1993,1993,USD,US Dollar,6,Millions,,,6858559,,
GDP_PPP,Gross Domestic Product (current PPP$),USA,United States,1994,1994,USD,US Dollar,6,Millions,,,7287236,,
GDP_PPP,Gross Domestic Product (current PPP$),USA,United States,1995,1995,USD,US Dollar,6,Millions,,,7639749,,
GDP_PPP,Gross Domestic Product (current PPP$),USA,United States,1996,1996,USD,US Dollar,6,Millions,,,8073122,,
GDP_PPP,Gross Domestic Product (current PPP$),USA,United States,1997,1997,USD,US Dollar,6,Millions,,,8577552,,
GDP_PPP,Gross Domestic Product (current PPP$),USA,United States,1998,1998,USD,US Dollar,6,Millions,,,9062817,,
GDP_PPP,Gross Domestic Product (current PPP$),USA,United States,1999,1999,USD,US Dollar,6,Millions,,,9631172,,
GDP_PPP,Gross Domestic Product (current PPP$),USA,United States,2000,2000,USD,US Dollar,6,Millions,,,10250952,,
GDP_PPP,Gross Domestic Product (current PPP$),USA,United States,2001,2001,USD,US Dollar,6,Millions,,,10581929,,
GDP_PPP,Gross Domestic Product (current PPP$),USA,United States,2002,2002,USD,US Dollar,6,Millions,,,10929108,,
GDP_PPP,Gross Domestic Product (current PPP$),USA,United States,2003,2003,USD,US Dollar,6,Millions,,,11456450,,
GDP_PPP,Gross Domestic Product (current PPP$),USA,United States,2004,2004,USD,US Dollar,6,Millions,,,12217196,,
GDP_PPP,Gross Domestic Product (current PPP$),USA,United States,2005,2005,USD,US Dollar,6,Millions,,,13039197,,
GDP_PPP,Gross Domestic Product (current PPP$),USA,United States,2006,2006,USD,US Dollar,6,Millions,,,13815583,,
GDP_PPP,Gross Domestic Product (current PPP$),USA,United States,2007,2007,USD,US Dollar,6,Millions,,,14474228,,
GDP_PPP,Gross Domestic Product (current PPP$),USA,United States,2008,2008,USD,US Dollar,6,Millions,,,14769862,,
GDP_PPP,Gross Domestic Product (current PPP$),USA,United States,2009,2009,USD,US Dollar,6,Millions,,,14478067,,
GDP_PPP,Gross Domestic Product (current PPP$),USA,United States,2010,2010,USD,US Dollar,6,Millions,,,15048970,,
GDP_PPP,Gross Domestic Product (current PPP$),USA,United States,2011,2011,USD,US Dollar,6,Millions,,,15599731,,
GDP_PPP,Gross Domestic Product (current PPP$),USA,United States,2012,2012,USD,US Dollar,6,Millions,,,16253970,,
GDP_PPP,Gross Domestic Product (current PPP$),USA,United States,2013,2013,USD,US Dollar,6,Millions,,,16843196,,
GDP_PPP,Gross Domestic Product (current PPP$),USA,United States,2014,2014,USD,US Dollar,6,Millions,,,17550687,,
GDP_PPP,Gross Domestic Product (current PPP$),USA,United States,2015,2015,USD,US Dollar,6,Millions,,,18206023,,
GDP_PPP,Gross Domestic Product (current PPP$),USA,United States,2016,2016,USD,US Dollar,6,Millions,,,18695106,,
GDP_PPP,Gross Domestic Product (current PPP$),USA,United States,2017,2017,USD,US Dollar,6,Millions,,,19477337,,
GDP_PPP,Gross Domestic Product (current PPP$),USA,United States,2018,2018,USD,US Dollar,6,Millions,,,20533058,,
GDP_PPP,Gross Domestic Product (current PPP$),USA,United States,2019,2019,USD,US Dollar,6,Millions,,,21380976,,
GDP_PPP,Gross Domestic Product (current PPP$),USA,United States,2020,2020,USD,US Dollar,6,Millions,,,21060474,,
GDP_PPP,Gross Domestic Product (current PPP$),USA,United States,2021,2021,USD,US Dollar,6,Millions,,,23315081,,
GDP_PPP,Gross Domestic Product (current PPP$),USA,United States,2022,2022,USD,US Dollar,6,Millions,,,25385981.35,e,Estimated value
